CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.759800	0.759800	0.759800	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	1.519600	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	2.279400	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	3.039200	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	3.799000	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	4.558800	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	5.318600	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	6.078400	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	6.838200	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	7.598000	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	8.357800	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	9.117600	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	9.877400	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	10.637200	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759900	0.759900	11.397100	0.200000	0.000000	0.000000	0.151980	0.000000	0.000000
0.759800	0.759800	12.156900	0.200000	0.000000	0.000000	0.151960	0.000000	-0.000000
0.759800	0.759800	12.916700	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759800	0.759800	13.676500	0.200000	0.000000	0.000000	0.151960	0.000000	0.000000
0.759600	0.759600	14.436100	0.200000	0.000000	0.000000	0.151920	0.000000	-0.000000
0.759600	0.759600	15.195700	0.200000	0.000000	0.000000	0.151920	0.000000	0.000000
0.759500	0.759500	15.955200	0.200000	0.000000	0.000000	0.151900	0.000000	-0.000000
0.759300	0.759300	16.714500	0.200000	0.000000	0.000000	0.151860	0.000000	-0.000000
0.759200	0.759200	17.473700	0.200000	0.000000	0.000000	0.151840	0.000000	-0.000000
0.759000	0.759000	18.232700	0.200000	0.000000	0.000000	0.151800	0.000000	-0.000000
