CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.759800	0.759800	0.759800	0.200000	0.000400	0.000000	0.151960	0.000304	0.000000
0.759800	0.759800	1.519600	0.200000	0.000400	0.000000	0.151960	0.000608	0.000000
0.759800	0.759800	2.279400	0.200000	0.000400	0.000000	0.151960	0.000912	0.000000
0.759800	0.759800	3.039200	0.200000	0.000400	0.000000	0.151960	0.001216	0.000000
0.759800	0.759800	3.799000	0.200000	0.000400	0.000000	0.151960	0.001520	0.000000
0.759800	0.759800	4.558800	0.200000	0.000400	0.000000	0.151960	0.001824	0.000000
0.759800	0.759800	5.318600	0.200000	0.000400	0.000000	0.151960	0.002127	0.000000
0.759800	0.759800	6.078400	0.200000	0.000400	0.000000	0.151960	0.002431	0.000000
0.759800	0.759800	6.838200	0.200000	0.000400	0.000000	0.151960	0.002735	0.000000
0.759800	0.759800	7.598000	0.200000	0.000400	0.000000	0.151960	0.003039	0.000000
0.759800	0.759800	8.357800	0.200000	0.000400	0.000000	0.151960	0.003343	0.000000
0.759800	0.759800	9.117600	0.200000	0.000400	0.000000	0.151960	0.003647	0.000000
0.759800	0.759800	9.877400	0.200000	0.000400	0.000000	0.151960	0.003951	0.000000
0.759800	0.759800	10.637200	0.200000	0.000400	0.000000	0.151960	0.004255	0.000000
0.759800	0.759800	11.397000	0.200000	0.000400	0.000000	0.151960	0.004559	0.000000
0.759800	0.759800	12.156800	0.200000	0.000400	0.000000	0.151960	0.004863	0.000000
0.759900	0.759900	12.916700	0.200000	0.000400	0.000000	0.151980	0.005167	0.000000
0.759800	0.759800	13.676500	0.200000	0.000400	0.000000	0.151960	0.005471	-0.000000
0.759800	0.759800	14.436300	0.200000	0.000400	0.000000	0.151960	0.005775	0.000000
0.759700	0.759700	15.196000	0.200000	0.000400	0.000000	0.151940	0.006078	-0.000000
0.759700	0.759700	15.955700	0.200000	0.000400	0.000000	0.151940	0.006382	0.000000
0.759500	0.759500	16.715200	0.200000	0.000400	0.000000	0.151900	0.006686	-0.000000
0.759400	0.759400	17.474600	0.200000	0.000400	0.000000	0.151880	0.006990	-0.000000
0.759400	0.759400	18.234000	0.200000	0.000400	0.000000	0.151880	0.007294	0.000000
0.759200	0.759200	18.993200	0.200000	0.000400	0.000000	0.151840	0.007597	-0.000000
0.759100	0.759100	19.752300	0.200000	0.000400	0.000000	0.151820	0.007901	-0.000000
0.758900	0.758900	20.511200	0.200000	0.000400	0.000000	0.151780	0.008204	-0.000000
0.758800	0.758800	21.270000	0.200000	0.000400	0.000000	0.151760	0.008508	-0.000000
0.758400	0.758400	22.028400	0.200000	0.000400	0.000000	0.151680	0.008811	-0.000000
0.758200	0.758200	22.786600	0.200000	0.000400	0.000000	0.151640	0.009115	-0.000000
0.758000	0.758000	23.544600	0.200000	0.000400	0.000000	0.151600	0.009418	-0.000000
0.757800	0.757800	24.302400	0.200000	0.000400	0.000000	0.151560	0.009721	-0.000000
0.757600	0.757600	25.060000	0.200000	0.000400	0.000000	0.151520	0.010024	-0.000000
0.757300	0.757300	25.817300	0.200000	0.000400	0.000000	0.151460	0.010327	-0.000000
0.757100	0.757100	26.574400	0.200000	0.000400	0.000000	0.151420	0.010630	-0.000000
0.756800	0.756800	27.331200	0.200000	0.000400	0.000000	0.151360	0.010932	-0.000000
0.756500	0.756500	28.087700	0.200000	0.000400	0.000000	0.151300	0.011235	-0.000000
0.756200	0.756200	28.843900	0.200000	0.000400	0.000000	0.151240	0.011538	-0.000000
0.755900	0.755900	29.599800	0.200000	0.000400	0.000000	0.151180	0.011840	-0.000000
0.755900	0.755900	30.355700	0.200000	0.000400	0.000000	0.151180	0.012142	0.000000
0.755200	0.755200	31.110900	0.200000	0.000400	0.000000	0.151040	0.012444	-0.000000
0.754800	0.754800	31.865700	0.200000	0.000400	0.000000	0.150960	0.012746	-0.000000
0.754400	0.754400	32.620100	0.200000	0.000400	0.000000	0.150880	0.013048	-0.000000
0.754100	0.754100	33.374200	0.200000	0.000400	0.000000	0.150820	0.013350	-0.000000
0.754100	0.754100	34.128300	0.200000	0.000400	0.000000	0.150820	0.013651	0.000000
0.753600	0.753600	34.881900	0.200000	0.000400	0.000000	0.150720	0.013953	-0.000000
0.752800	0.752800	35.634700	0.200000	0.000400	0.000000	0.150560	0.014254	-0.000000
0.752300	0.752300	36.387000	0.200000	0.000400	0.000000	0.150460	0.014555	-0.000000
0.751800	0.751800	37.138800	0.200000	0.000400	0.000000	0.150360	0.014856	-0.000000
0.751400	0.751400	37.890200	0.200000	0.000400	0.000000	0.150280	0.015156	-0.000000
0.750900	0.750900	38.641100	0.200000	0.000400	0.000000	0.150180	0.015456	-0.000000
0.750400	0.750400	39.391500	0.200000	0.000400	0.000000	0.150080	0.015757	-0.000000
0.749800	0.749800	40.141300	0.200000	0.000400	0.000000	0.149960	0.016057	-0.000000
0.749800	0.749800	40.891100	0.200000	0.000400	0.000000	0.149960	0.016356	0.000000
0.749300	0.749300	41.640400	0.200000	0.000400	0.000000	0.149860	0.016656	-0.000000
0.748700	0.748700	42.389100	0.200000	0.000400	0.000000	0.149740	0.016956	-0.000000
0.748100	0.748100	43.137200	0.200000	0.000400	0.000000	0.149620	0.017255	-0.000000
0.747500	0.747500	43.884700	0.200000	0.000400	0.000000	0.149500	0.017554	-0.000000
0.746900	0.746900	44.631600	0.200000	0.000400	0.000000	0.149380	0.017853	-0.000000
0.746200	0.746200	45.377800	0.200000	0.000400	0.000000	0.149240	0.018151	-0.000000
0.745500	0.745500	46.123300	0.200000	0.000400	0.000000	0.149100	0.018449	-0.000000
0.744800	0.744800	46.868100	0.200000	0.000400	0.000000	0.148960	0.018747	-0.000000
0.744100	0.744100	47.612200	0.200000	0.000400	0.000000	0.148820	0.019045	-0.000000
0.743400	0.743400	48.355600	0.200000	0.000400	0.000000	0.148680	0.019342	-0.000000
0.742700	0.742700	49.098300	0.200000	0.000400	0.000000	0.148540	0.019639	-0.000000
0.741900	0.741900	49.840200	0.200000	0.000400	0.000000	0.148380	0.019936	-0.000000
0.741000	0.741000	50.581200	0.200000	0.000400	0.000000	0.148200	0.020232	-0.000000
0.740200	0.740200	51.321400	0.200000	0.000400	0.000000	0.148040	0.020529	-0.000000
0.739300	0.739300	52.060700	0.200000	0.000400	0.000000	0.147860	0.020824	-0.000000
