CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.759800	0.759800	0.759800	0.200000	0.000400	3.000000	0.151960	0.000304	0.000000
0.759800	0.759800	1.519600	0.200000	0.000400	3.000000	0.151960	0.000608	0.000000
0.759800	0.759800	2.279400	0.200000	0.000400	3.000000	0.151960	0.000912	0.000000
0.759800	0.759800	3.039200	0.200000	0.000400	3.000000	0.151960	0.001216	0.000000
0.759800	0.759800	3.799000	0.200000	0.000400	3.000000	0.151960	0.001520	0.000000
0.759800	0.759800	4.558800	0.200000	0.000400	3.000000	0.151960	0.001824	0.000000
0.759800	0.759800	5.318600	0.200000	0.000400	3.000000	0.151960	0.002127	0.000000
0.759800	0.759800	6.078400	0.200000	0.000400	3.000000	0.151960	0.002431	0.000000
0.759800	0.759800	6.838200	0.200000	0.000400	3.000000	0.151960	0.002735	0.000000
0.759800	0.759800	7.598000	0.200000	0.000400	3.000000	0.151960	0.003039	0.000000
0.759800	0.759800	8.357800	0.200000	0.000400	3.000000	0.151960	0.003343	0.000000
0.759800	0.759800	9.117600	0.200000	0.000400	3.000000	0.151960	0.003647	0.000000
0.759800	0.759800	9.877400	0.200000	0.000400	3.000000	0.151960	0.003951	0.000000
0.759800	0.759800	10.637200	0.200000	0.000400	3.000000	0.151960	0.004255	0.000000
0.759900	0.759900	11.397100	0.200000	0.000400	3.000000	0.151980	0.004559	0.000300
0.759800	0.759800	12.156900	0.200000	0.000400	3.000000	0.151960	0.004863	-0.000300
0.759700	0.759700	12.916600	0.200000	0.000400	3.000000	0.151940	0.005167	-0.000300
0.759700	0.759700	13.676300	0.200000	0.000400	3.000000	0.151940	0.005471	0.000000
0.759600	0.759600	14.435900	0.200000	0.000400	3.000000	0.151920	0.005774	-0.000300
0.759500	0.759500	15.195400	0.200000	0.000400	3.000000	0.151900	0.006078	-0.000300
0.759400	0.759400	15.954800	0.200000	0.000400	3.000000	0.151880	0.006382	-0.000300
0.759300	0.759300	16.714100	0.200000	0.000400	3.000000	0.151860	0.006686	-0.000300
0.759100	0.759100	17.473200	0.200000	0.000400	3.000000	0.151820	0.006989	-0.000600
0.759000	0.759000	18.232200	0.200000	0.000400	3.000000	0.151800	0.007293	-0.000300
0.758900	0.758900	18.991100	0.200000	0.000400	3.000000	0.151780	0.007596	-0.000300
0.758700	0.758700	19.749800	0.200000	0.000400	3.000000	0.151740	0.007900	-0.000600
0.758600	0.758600	20.508400	0.200000	0.000400	3.000000	0.151720	0.008203	-0.000300
0.758400	0.758400	21.266800	0.200000	0.000400	3.000000	0.151680	0.008507	-0.000600
0.758200	0.758200	22.025000	0.200000	0.000400	3.000000	0.151640	0.008810	-0.000600
0.758000	0.758000	22.783000	0.200000	0.000400	3.000000	0.151600	0.009113	-0.000600
0.757800	0.757800	23.540800	0.200000	0.000400	3.000000	0.151560	0.009416	-0.000600
0.757600	0.757600	24.298400	0.200000	0.000400	3.000000	0.151520	0.009719	-0.000600
0.757400	0.757400	25.055800	0.200000	0.000400	3.000000	0.151480	0.010022	-0.000600
0.757100	0.757100	25.812900	0.200000	0.000400	3.000000	0.151420	0.010325	-0.000900
0.756900	0.756900	26.569800	0.200000	0.000400	3.000000	0.151380	0.010628	-0.000600
0.756600	0.756600	27.326400	0.200000	0.000400	3.000000	0.151320	0.010931	-0.000900
0.756300	0.756300	28.082700	0.200000	0.000400	3.000000	0.151260	0.011233	-0.000900
0.756000	0.756000	28.838700	0.200000	0.000400	3.000000	0.151200	0.011535	-0.000900
0.755700	0.755700	29.594400	0.200000	0.000400	3.000000	0.151140	0.011838	-0.000900
0.755400	0.755400	30.349800	0.200000	0.000400	3.000000	0.151080	0.012140	-0.000900
0.755000	0.755000	31.104800	0.200000	0.000400	3.000000	0.151000	0.012442	-0.001200
0.754600	0.754600	31.859400	0.200000	0.000400	3.000000	0.150920	0.012744	-0.001200
0.754300	0.754300	32.613700	0.200000	0.000400	3.000000	0.150860	0.013045	-0.000900
0.753900	0.753900	33.367600	0.200000	0.000400	3.000000	0.150780	0.013347	-0.001200
0.753500	0.753500	34.121100	0.200000	0.000400	3.000000	0.150700	0.013648	-0.001200
0.753000	0.753000	34.874100	0.200000	0.000400	3.000000	0.150600	0.013950	-0.001500
0.752600	0.752600	35.626700	0.200000	0.000400	3.000000	0.150520	0.014251	-0.001200
